Episode = 246, Score = 239.0996262207235, Avg_Score = 91.85869065685183
Episode = 247, Score = 11.737697191120432, Avg_Score = 92.98863701437502
Episode = 248, Score = -6.942742178463149, Avg_Score = 90.60504065182216
Episode = 249, Score = 225.44584771851487, Avg_Score = 93.59407720184787
Episode = 250, Score = 272.92514549464676, Avg_Score = 97.03871183993982
Episode = 251, Score = 174.46113713430697, Avg_Score = 96.77156749907536
Episode = 252, Score = -46.37859514068566, Avg_Score = 99.17902504961198
Episode = 253, Score = 11.715732179406885, Avg_Score = 99.46690191427074
Episode = 254, Score = 195.2237193472494, Avg_Score = 101.04596064458117
Episode = 255, Score = -35.59949182988305, Avg_Score = 100.50765683064006
Episode = 256, Score = -85.36284596554339, Avg_Score = 97.33818162363805
Episode = 257, Score = 271.682625538436, Avg_Score = 102.57085113598941
Episode = 258, Score = -234.90676884712144, Avg_Score = 101.12333198094012
Episode = 259, Score = -2.0814562251167814, Avg_Score = 99.29256843947124
Episode = 260, Score = 223.1717040453335, Avg_Score = 100.39038731299252
Episode = 261, Score = 219.24185711263016, Avg_Score = 100.49577216784131
Episode = 262, Score = -52.05324076742165, Avg_Score = 97.12981514969819
Episode = 263, Score = 259.8635172276531, Avg_Score = 99.69613139293419
Episode = 264, Score = 42.726513566896244, Avg_Score = 98.43567166641066
Episode = 265, Score = 279.6669661554336, Avg_Score = 98.57179062381874
Episode = 266, Score = 210.57867676014564, Avg_Score = 100.76582175018322
Episode = 267, Score = 254.85818976903212, Avg_Score = 100.94758998533142
Episode = 269, Score = -136.79806755136795, Avg_Score = 97.06595195898814
Episode = 270, Score = 220.75312136758257, Avg_Score = 97.4345523208231
Episode = 271, Score = -28.989137680647943, Avg_Score = 97.83667617644046
Episode = 272, Score = -58.26661417362128, Avg_Score = 97.32246279956317
Episode = 273, Score = -48.40328404373939, Avg_Score = 94.45210046788658
Episode = 274, Score = -40.00865455050065, Avg_Score = 94.42518400963904
Episode = 275, Score = -32.87895103952185, Avg_Score = 91.67507531338809
Episode = 276, Score = -175.53436301135554, Avg_Score = 87.28297410688565
Episode = 277, Score = 196.19105866546636, Avg_Score = 87.07865644955031
Episode = 278, Score = -35.68586731520385, Avg_Score = 84.51565637884407
Episode = 279, Score = 280.57499375689395, Avg_Score = 85.09840966768168
Episode = 280, Score = 263.2817894919461, Avg_Score = 88.90557572718983
Episode = 281, Score = 29.545551030876595, Avg_Score = 86.83189848065071
Episode = 282, Score = -7.829861003529913, Avg_Score = 88.34681415827734
Episode = 283, Score = 194.63172683054452, Avg_Score = 90.28698895262393
Episode = 284, Score = 34.36070179249444, Avg_Score = 87.7872564176882
Episode = 285, Score = -16.821597262254002, Avg_Score = 85.66860619910818
Episode = 286, Score = 27.783400281205985, Avg_Score = 86.71608307358994
Episode = 287, Score = -79.02276504110462, Avg_Score = 86.3739053473184
Episode = 288, Score = -100.66914863256713, Avg_Score = 85.17024470002019
Episode = 289, Score = -90.04327211505556, Avg_Score = 84.68631136277477
Episode = 290, Score = 215.30462072783462, Avg_Score = 86.82326182733306
Episode = 291, Score = 4.5850375601631725, Avg_Score = 88.3223798119743
Episode = 292, Score = -117.80923729063815, Avg_Score = 86.89740031592129
Episode = 293, Score = 224.44215958402202, Avg_Score = 89.0169458180133
Episode = 294, Score = 243.63078909543816, Avg_Score = 89.67161073008666
Episode = 295, Score = -143.68870207331597, Avg_Score = 87.92197667779443
Episode = 296, Score = 210.4646136070996, Avg_Score = 91.35972742202058
Episode = 297, Score = 176.44141757983292, Avg_Score = 90.71619178551953
Episode = 298, Score = 233.36944258367177, Avg_Score = 93.82564161097201
Episode = 299, Score = 268.40252362658094, Avg_Score = 94.11819787321863
Episode = 300, Score = -9.259354056719076, Avg_Score = 92.3406965982974
Episode = 301, Score = 268.0269677037543, Avg_Score = 95.40473216394692
Episode = 302, Score = 161.35104251089646, Avg_Score = 96.78192883779349
Episode = 303, Score = 233.69121313858898, Avg_Score = 99.71264738373279
Episode = 304, Score = 239.55012200430417, Avg_Score = 102.14556068331889
Episode = 305, Score = 233.03291376634868, Avg_Score = 104.9178882529557
Episode = 306, Score = 248.461103358413, Avg_Score = 105.1573771182421
Episode = 307, Score = -44.77284326071312, Avg_Score = 102.40875812580639
Episode = 308, Score = 239.38364959840203, Avg_Score = 106.9934353593893
Episode = 309, Score = 248.8900247558872, Avg_Score = 107.10269110627127
Episode = 310, Score = -138.1288546170192, Avg_Score = 103.4728080217004
Episode = 311, Score = 265.4083810461776, Avg_Score = 104.15335287216098
Episode = 312, Score = -215.672140259159, Avg_Score = 103.44368951213082
Episode = 313, Score = -97.15979104150915, Avg_Score = 99.8593533933114
Episode = 314, Score = 291.2167840285278, Avg_Score = 100.17913625616048
Episode = 315, Score = 20.141524418820154, Avg_Score = 102.58830349482716
Episode = 316, Score = 269.8944300632352, Avg_Score = 102.63937515965986
Episode = 317, Score = 219.07142363789217, Avg_Score = 102.78481031837848
Episode = 318, Score = 235.5978876514321, Avg_Score = 102.2146239853436
Episode = 319, Score = 15.809257724495538, Avg_Score = 100.04735181321652
Episode = 320, Score = 250.9161285743997, Avg_Score = 100.58623311998426
Episode = 321, Score = 15.55419057934212, Avg_Score = 103.69212351111263
Episode = 322, Score = -168.76173685867846, Avg_Score = 99.5168681043569
